act1|click|1599|265|-|1|-
act1|key|-|-|f_name|2|-
act1|click|1797|278|-|3|-
act1|key|-|-|l_name|4|-
act1|click|1645|337|-|5|-
act1|key|-|-|f_name|6|-
act1|key|-|-|l_name|7|-
act1|click|1667|428|-|8|-
act1|delay|-|-|-|9|5
act1|click|1667|428|-|10|-
act1|delay|-|-|-|11|2
act1|click|1792|487|-|12|-
act1|click|1591|411|-|13|-
act1|key|-|-|password|14|-
act1|click|1772|412|-|15|-
act1|key|-|-|password|16|-
act1|click|1852|686|-|17|-
act1|delay|-|-|-|18|7
act1|click|1653|296|-|19|-
act1|key|-|-|reco_mail|20|-
act1|click|1585|364|-|21|-
act1|key|-|-|date|22|-
act1|click|1718|371|-|23|-
act1|click|1704|394|-|24|-
act1|click|1829|370|-|25|-
act1|key|-|-|year|26|-
act1|click|1701|455|-|27|-
act1|click|1681|476|-|28|-
act1|click|1859|582|-|29|-
act1|delay|-|-|-|30|7
act1|key|-|-|space|31|-
act1|key|-|-|space|32|-
act1|key|-|-|space|33|-
act1|click|1845|602|-|34|-
act1|key|-|-|write_out|35|-
